hotel_id,name,prefecture,city,price_per_person,rating
yad369442,HOTEL AO KANAZAWA,石川県,金沢・湯涌,116000.0,
yad321089,金沢　岡ホテル,石川県,金沢・湯涌,16500.0,4.5
yad312901,ホテル金沢　兼六荘,石川県,金沢・湯涌,17150.0,4.0
yad395573,ARIGATO STAY金沢駅前（旧ホテルトレンド金沢駅前）,石川県,金沢・湯涌,17200.0,4.0
yad344338,ハイアット　ハウス　金沢,石川県,金沢・湯涌,118975.0,
yad383226,金沢ニューグランドホテルプレミア,石川県,金沢・湯涌,17600.0,4.0
yad374460,金沢駅前ホテル,石川県,金沢・湯涌,16750.0,
yad303610,星空の降りそそぐ宿　金沢湯涌温泉  あたらしや,石川県,金沢・湯涌,128650.0,4.0
yad353572,Tabist ビジネスホテルRサイド 金沢,石川県,金沢・湯涌,16650.0,4.3
yad394718,ダイアパレス大手門,石川県,金沢・湯涌,118360.0,
yad305048,旅館　からさわ,石川県,金沢・湯涌,111300.0,
yad346894,アパホテル〈金沢片町〉EXCELLENT,石川県,金沢・湯涌,16700.0,3.9
yad375496,Ｋａｎａｍｅ　Ｉｎｎ　Ｔａｔｅｍａｃｈｉ,石川県,金沢・湯涌,110000.0,
yad312510,ＳＡＲＡＲＡＳＯ,石川県,金沢・湯涌,17500.0,
yad375498,ホテルエコノ東金沢,石川県,金沢・湯涌,14800.0,3.6
yad388196,SHARIN Kanazawa Traveler’s Inn,石川県,金沢・湯涌,,
yad353402,宿坊心泉,石川県,金沢・湯涌,,
yad338155,ホテルリブマックス金沢駅前,石川県,金沢・湯涌,14675.0,3.8
yad345272,ゲストルーム心音－金澤表参道－,石川県,金沢・湯涌,18000.0,
yad355795,備長炭の湯　ホテルクラウンヒルズ金沢香林坊,石川県,金沢・湯涌,14250.0,3.5
yad346145,Ｚａｉｍｏｋｕ旅音,石川県,金沢・湯涌,112000.0,
yad372327,HOTEL 花 IchiRin KANAZAWA,石川県,金沢・湯涌,13800.0,
yad317214,ゲストハウス　和んで,石川県,金沢・湯涌,13000.0,
yad333514,トラベラーズホステル　ケイズハウス金沢,石川県,金沢・湯涌,13600.0,
yad387016,らしく金沢ＨＯＴＥＬ,石川県,金沢・湯涌,120300.0,
yad317051,片町ツアーホテル,石川県,金沢・湯涌,14900.0,
yad311923,金沢セントラルホテル東館,石川県,金沢・湯涌,13900.0,3.6
yad388328,東横ＩＮＮ 金沢駅東口,石川県,金沢・湯涌,16050.0,3.8
yad394935,アネックス金沢,石川県,金沢・湯涌,120000.0,
yad374573,Ｏｙａｍａ旅音,石川県,金沢・湯涌,112500.0,
yad377130,Ｈｏｒｉｋａｗａ　Ｈｏｓｔｅｌ,石川県,金沢・湯涌,120000.0,
yad384534,MUSASHI Condo Kanazawa,石川県,金沢・湯涌,,
yad397593,ＧＵＥＳＴＨＯＵＳＥ　ＫＡＤＯＹＡＳＵ,石川県,金沢・湯涌,15250.0,
yad383071,てらまちや 風心庵,石川県,金沢・湯涌,114410.0,
yad385108,Ｃａｓａｙａ旅音,石川県,金沢・湯涌,111000.0,
yad385675,Ｎａｇｏｍｉ　旅音,石川県,金沢・湯涌,110000.0,
yad393000,旅館　やまむろ,石川県,金沢・湯涌,18100.0,
yad371876,橋端家旅音,石川県,金沢・湯涌,111500.0,
yad371947,民宿銀松,石川県,金沢・湯涌,14900.0,
yad366424,ビジネスホテル　レマン,石川県,金沢・湯涌,14800.0,3.6
yad334432,金沢カプセルホテル武蔵町,石川県,金沢・湯涌,,3.7
yad320934,金沢フレックスホテル,石川県,金沢・湯涌,15250.0,3.1
